video_title,video_description,video_url
"Hermitcraft 7 | Ep 071: EASY PEASY SLIME FARM!",java,https://www.youtube.com/watch?v=JJA33Iw7hVw
"Iskall's slime farm",java,https://www.youtube.com/watch?v=kACLdIkRRII
"The FASTEST Iron Farm in Minecraft 1.20+ | 1450+ Iron Per Hour!",java,https://www.youtube.com/watch?v=RPH311TGDc4
"I Built a CREEPER FARM in Minecraft Hardcore",java,https://www.youtube.com/watch?v=h0J5VwhBs1g
"UNLIMITED TOTEMS in Minecraft Hardcore",java,https://www.youtube.com/watch?v=RHRJ4_Cc-SQ
"Postavil jsem GIGANTICKOU farmu na Totemy... (80,000 za hodinu)",java,https://www.youtube.com/watch?v=C5ZRApzKMd0
"I Built a Wither Skeleton FARM in Minecraft Hardcore (#39)",java,https://www.youtube.com/watch?v=84GUEi-qrG0
"Building AUTOMATIC FARMS in Minecraft Hardcore (#7)",java,https://www.youtube.com/watch?v=DpacO4GOIuQ
"Minecraft EASIEST Raid Farm 1.20+ | Insane loot!",java,https://www.youtube.com/watch?v=CEPJcgGR-6o
"What is The Best Creeper Farm in Minecraft? Testing to Find out",java,https://www.youtube.com/watch?v=hTZ-CVQUgHs
"Minecraft Easiest Iron Farm",java,https://www.youtube.com/shorts/bT_vtwb-vG8
"MINECRAFT IRON FARM TUTORIAL 1.20+ | New, Easy, Efficient",java,https://www.youtube.com/watch?v=bbBDVQhWfaE
"Minecraft 1.20 Easy IRON Farm Tutorial - 330+ Per Hour",java,https://www.youtube.com/watch?v=JrQuD6xWHlA
"Minecraft Easy IRON FARM Without a Zombie - Tutorial 1.19+",java,https://www.youtube.com/watch?v=np7NEx2KdYU
"EASY & COMPACT Iron Farm Tutorial! Minecraft 1.19+ (350+ Iron P/H)",java,https://www.youtube.com/watch?v=LotpZGUWg0Q
"SUPER SIMPLE Turtle Farm for Minecraft (Turtle Scute / Turtle Eggs)",java,https://www.youtube.com/watch?v=e_se-T_9U28
"I Built an OP Wither Skeleton Farm in Minecraft Hardcore",java,https://www.youtube.com/watch?v=rfhNzFyPWAM
" Minecraft Starter Farms",java,https://www.youtube.com/shorts/y7UYlrqUX3M
"SIMPLE Turtle Farm for Minecraft 1.19 - Easy Scute & Eggs",java,https://www.youtube.com/watch?v=Y8gpe2iAJrc
"Everything You Need to Know About Turtles in Minecraft 1.20",java,https://www.youtube.com/watch?v=75gZa8s_zg4
"Minecraft Ultimate Iron Farm Tutorial - 83,000 Iron Per Hour!",java,https://www.youtube.com/watch?v=835S_L50Xek
"Minecraft Unlimited FUEL Farm ",java,https://www.youtube.com/shorts/r1qjWeGcu3s
"You are mining Iron wrong | Easiest Iron farm 1.20",java,https://www.youtube.com/shorts/fJjggIn3w84
"Easy Iron Farm 1.20/1.19 in Minecraft",java,https://www.youtube.com/shorts/SCATWH6htCc
"I Built the BIGGEST IRON FARM in Survival Minecraft",java,https://www.youtube.com/watch?v=p0cW_nZQFQg
"STONEBLOCK 3 MODPACK Ep 4 | Easy Mob Farm",java,https://www.youtube.com/watch?v=y3-A0_fmGV8
"Minecraft All Mob Farm - 10,000+ Items Per Hour - Easy Build",java,https://www.youtube.com/watch?v=HtKoviqHUNs
"Easy Automatic Bonemeal/Moss Farm! (Minecraft Java 1.20 +)",java,https://www.youtube.com/watch?v=Nl9J2_RhfmA
"Minecraft Easiest Flower/Dye Farm Tutorial - 1.16/1.15",java,https://www.youtube.com/watch?v=5S0D1DS9w7c
"SciCraft Blitz Day 2: Crazy Raid And Shulker Farm",java,https://www.youtube.com/watch?v=yTqL7u9CJTA
"SciCraft Blitz Day 3: Automatic Tree Farm / Simple Wither Skeleton Farm",java,https://www.youtube.com/watch?v=ZslSTQ5tXP4
"Peaceful Challenge #89: Lava And Obsidian Farm Using Cauldrons",java,https://www.youtube.com/watch?v=Ycoc_Cn2KK8
"Infinite Fuel Farm With Unlimited XP! :: How To Build Minecraft Tutorial (Automatic Kelp Battery)",java,https://www.youtube.com/watch?v=_nA1a3cDfeY
"Minecraft Mods FTB Infinity Evolved - GOLD FARMING [E22] (Modded Expert Mode)",java,https://www.youtube.com/watch?v=vNbbqXYY9wQ
"Automatic Rubber and IC2 Crop Crash Course : Enigmatica 2 Expert Lp Ep #19 Minecraft 1.12",java,https://www.youtube.com/watch?v=NDEspCP0Qzw
"Automatic Lava Farm 1.17",java,https://www.youtube.com/watch?v=SnDul0WMdH4
"Minecraft 1.12 Automatic Flower Farm",java,https://www.youtube.com/watch?v=59WPGs1OJsM
"5 BEST Farms for a New World! [Minecraft] 2023",java,https://www.youtube.com/watch?v=OuaN4yhVVSc
"5 BEST Farms for a New World! [Minecraft]",java,https://www.youtube.com/watch?v=TZSAR9S0zl0
"I Built Overpowered Automatic Farms In Minecraft Hardcore",java,https://www.youtube.com/watch?v=hDwbnyTgQV0
"I Built a DOUBLE SKELETON FARM in Minecraft Hardcore (#4)",java,https://www.youtube.com/watch?v=PoZgjTi9128
"I Built a REDSTONE FACTORY in Minecraft Hardcore",java,https://www.youtube.com/watch?v=QkFoRcVeFqw
"easiest iron farm|badrock edition iron farm|how to make iron farm|iron farm 1.20 |iron farm",java,https://www.youtube.com/watch?v=0fyEm1wSzZo
"I Built a NETHERITE FARM in Minecraft Hardcore",java,https://www.youtube.com/watch?v=g9qv3DwcnSU
"I Built the GREATEST Farms in Survival Minecraft",java,https://www.youtube.com/watch?v=jHHYO4LY3EU
"10 Unbelievably TINY Minecraft Farms",java,https://www.youtube.com/watch?v=LkCJL7K78Q0
"I Built 20 Automatic Farms in Hardcore Minecraft",java,https://www.youtube.com/watch?v=KpV1OKcup4g
"Sugar Cane Farm - 2000+ Per Hour - Minecraft 1.20 Tutorial",java,https://www.youtube.com/watch?v=yQQPVgZVIGg
"Minecraft Villager Auto Crop Farm Tutorial -  Potato Wheat Carrot Beetroot",java,https://www.youtube.com/watch?v=fyxyAG1Ojb8
"Minecraft Easy Cobblestone Farm Tutorial - Fully Automatic",java,https://www.youtube.com/watch?v=Un-opjPr9LU
"Easy MOB XP FARM in Minecraft | Tutorial 1.20+",java,https://www.youtube.com/watch?v=vFbqMvSRct0
"Minecraft BEST CREEPER FARM 1.20.2 - Java & Bedrock - 12000+ Gunpowder Per Hour!",java,https://www.youtube.com/watch?v=C7n6S-LKZ3s
"Sugarcane Farms in Minecraft Are Wrong, Here's How to Fix Them",java,https://www.youtube.com/watch?v=1LyQMfTpcHM
"Minecraft BEST SUGAR CANE FARM 1.20.2 - Java & Bedrock - 5000+ PER/HR!",java,https://www.youtube.com/watch?v=HeOG5kXGgpA
"Minecraft MOSS BLOCK FARM | Unlimited, Automatic",java,https://www.youtube.com/watch?v=ELoguaJZb_k
"MEGA Creeper Farm For Minecraft Bedrock 1.20",bedrock,https://www.youtube.com/watch?v=Mj2T4IjlYDE
"I Built The Biggest XP Farm in Minecraft Hardcore",java,https://www.youtube.com/watch?v=FvLhpBqjoAM
"Minecraft Easy Infinite String & Emerald Farm in 1.20+ [WORKING GLITCH]",java,https://www.youtube.com/watch?v=QDXxpdi0J90
"EASY AUTOMATIC CROP FARM 1.20 - Minecraft Bedrock Edition Tutorial",bedrock,https://www.youtube.com/watch?v=XCN04qo9qKI
"I Built EVERY Automatic Farm in Minecraft Hardcore",java,https://www.youtube.com/watch?v=VGugaoLbzsc
"I Built a GOD APPLE Farm in Minecraft Hardcore",java,https://www.youtube.com/watch?v=dzTQsCD6EYU
"I Built 7 AESTHETIC Automatic Farms in Minecraft Hardcore",java,https://www.youtube.com/watch?v=dMdK2eUcBrk
"Postavil jsem 10 AUTOMATICKÝCH Farem v Minecraftu",java,https://www.youtube.com/watch?v=lbEucYWBfI4
"Minecraft Stacking Raid Farm - 80,000+ Items Per Hour",java,https://www.youtube.com/watch?v=D_mmAJtbL1g
"EASIEST Turtle Farm in Minecraft Super Simple | Turtle scute / Turtle eggs farm Tutorial",java,https://www.youtube.com/watch?v=BN1slUvxN-4
"MINECRAFT SNIFFER FARM 1.20+ | Easy Auto Torchflower + Pitcher Plant Farm",java,https://www.youtube.com/watch?v=WshTGqtDXVU
,java,https://www.youtube.com/watch?v=b5_SwGavLjI
"Blaze Farm - Minecraft 1.20+ Tutorial",java,https://www.youtube.com/watch?v=uTQXea5kESw
"Best CREEPER FARM IN MINECRAFT 1.20(MCPE/BEDROCK/X BOX)  ||(No Spawner) Mishra Gaming",bedrock,https://www.youtube.com/watch?v=ekU4XsTF2Mk
"Minecraft Wood Farm in Bedrock Edition 1.20 (MCPE/Xbox/PS4/Nintendo Switch/Windows10)",bedrock,https://www.youtube.com/watch?v=EGKPhl1VGl8
"4 BEST XP FARMS in 1.20 Minecraft Bedrock/PE !",bedrock,https://www.youtube.com/watch?v=6tI3_kkg24w
"Minecraft AUTOMATIC WHEAT FARM | FAST TUTORIAL | SUPER EASY |",java,https://www.youtube.com/watch?v=tDHrtJx9gMM
"Minecraft: 1.20 Super Easy Sugar Cane Farm Tutorial",java,https://www.youtube.com/watch?v=jZKDXMpGeX4
"Minecraft: 1.20 Super Easy Blaze Farm Tutorial",java,https://www.youtube.com/watch?v=z9MfiCqlT4A
"Minecraft: 1.20 Ultimate Slime Farm Tutorial",java,https://www.youtube.com/watch?v=2mCBerpFNec
"BEST AFK Tree Farm Minecraft Bedrock 1.20!",java,https://www.youtube.com/watch?v=o2LFs2QJPXw
"Bonemeal/Moss Farm Tutorial | Minecraft 1.20+",java,https://www.youtube.com/watch?v=JsgrQUqyLQ8
"Minecraft 1.20 Blaze XP Farm Tutorial - 1000+ Rods Per Hour",java,https://www.youtube.com/watch?v=oFhKMnJKow4
"I Built An INSANE Automatic Sugar Cane Farm In Minecraft Hardcore!",java,https://www.youtube.com/watch?v=POo0Dsz7o3Y
"FASTEST Easiest Sugarcane Farm Minecraft Bedrock 1.20",bedrock,https://www.youtube.com/watch?v=GUeuYiwZ_7o
"Minecraft Creeper Farm In 10 SECONDS, 1 Minute & 10 Minutes",java,https://www.youtube.com/watch?v=gJA1uKnJMBU
"MINECRAFT 1.20+ AUTOMATIC SUGAR CANE FARM / EASY EFFICIENT SUGAR CANE FARM PER HOUR 6500+ (JAVA+PE)",java,https://www.youtube.com/watch?v=Y4-2S5sEZTE
"Minecraft Iron Farm DAY 1 - Unlimited Iron 1.19",java,https://www.youtube.com/watch?v=PuTaIoVZ3q0
"BEST 1.20 CHARCOAL FARM TUTORIAL in Minecraft Bedrock (MCPE/Xbox/PS/Switch/PC)",bedrock,https://www.youtube.com/watch?v=v2lkKXB0bGw
"Easiest Iron Farm Minecraft Bedrock 1.20 (with villager trading)",bedrock,https://www.youtube.com/watch?v=tyJI7oHkELI
"Minecraft Top 3 EARLY GAME Farms | No Redstone, Easy",java,https://www.youtube.com/watch?v=UyXsnxVDVrc
"Easiest Mob XP Farm For Minecraft Bedrock 1.20! (No Spawner)",bedrock,https://www.youtube.com/watch?v=Xs4tpFgrNTM
"5 EASY Farms YOU NEED For Minecraft Bedrock 1.19!",bedrock,https://www.youtube.com/watch?v=aJvbVCmuS2k
"7 MUST HAVE Farms Minecraft Bedrock 1.20!",bedrock,https://www.youtube.com/watch?v=EaXvnFvVlEM
"INFINITE Max Iron Farm | Bedrock Guide S3 EP13 | Minecraft",bedrock,https://www.youtube.com/watch?v=lCS1vFZfjVI
"Minecraft Bedrock: EASY RAID FARM + IRON FARM Tutorial! MCPE Xbox PS5 PC",bedrock,https://www.youtube.com/watch?v=a51vGbt-yHU
"Minecraft Bedrock: EASY Hostile MOB FARM Tutorial! Exp & Loot Farm! MCPE Xbox PS5 PC",bedrock,https://www.youtube.com/watch?v=p7iyUYZgZTQ
"Unbreakable IRON FARM + How It Works - Bedrock - Easy - Fast - Minecraft Bedrock Tutorial",bedrock,https://www.youtube.com/watch?v=e_N2at16fnw
"FAST Shulker Farm With NO REDSTONE | Minecraft Bedrock Tutorial",bedrock,https://www.youtube.com/watch?v=xi53eFNBSYM
"The BEST AFK Gold XP Farm Minecraft Bedrock 1.20",bedrock,https://www.youtube.com/watch?v=gWa3AzJpCa0
"Easiest Raid XP Farm Minecraft Bedrock 1.20",bedrock,https://www.youtube.com/watch?v=1f-9lSQqp8A
"3 MUST HAVE Farms For Minecraft Bedrock 1.19!",bedrock,https://www.youtube.com/watch?v=HZ0Z7xN5jc8
"BEST Gunpowder Farm Minecraft Bedrock 1.20 (No Creepers)",bedrock,https://www.youtube.com/watch?v=6_urmjgJe7o
"Best EASY AFK Fish Farm Minecraft 1.20! Minecraft Bedrock",bedrock,https://www.youtube.com/watch?v=d1v9-HNjFgQ
"Automatic FISH FARM Tutorial in Minecraft Bedrock 1.20 (MCPE/Xbox/PS5/Nintendo Switch/PC)",bedrock,https://www.youtube.com/watch?v=7FrV4daLgxg
"7 BEST Ways To Get XP In Minecraft",java,https://www.youtube.com/watch?v=okMdz9s7ENA
"How To Build A Simple 1.20+ Crop Farm Minecraft Tutorial!",java,https://www.youtube.com/watch?v=1UpajQNm9xk
"Minecraft 5 EASY EARLY GAME FARMS for Every World!",java,https://www.youtube.com/watch?v=8RfYdHQ_J7c
"TOP 3 DAY 1 FARMS MINECRAFT - No Redstone",java,https://www.youtube.com/watch?v=-ZvqCHq8z9M
"Minecraft: 4 MUST Have Beginner Farms for your Survival World!",java,https://www.youtube.com/watch?v=Z3bzbFuwZjQ
"Minecraft Bedrock Drowned Farm 1.19 - Review",bedrock,https://www.youtube.com/watch?v=hdgi53hKI5A
"Best EASY Trident Farm Minecraft 1.20! Minecraft Bedrock",bedrock,https://www.youtube.com/watch?v=x_9zJ3SO8Bw
"EASY 1.20 TRIDENT FARM TUTORIAL in Minecraft Bedrock (MCPE/Xbox/PS4/Nintendo Switch/Windows10)",bedrock,https://www.youtube.com/watch?v=XZs_S5-1b5U
"Simple, Compact, MAX RATES Iron Farm For Minecraft Bedrock 1.20",bedrock,https://www.youtube.com/watch?v=y5bbNQbrku8
"Minecraft Easy Multi Crop Farm - 850 Per Hour",java,https://www.youtube.com/watch?v=Jx7bDuEznnU
"Easiest SHULKER FARM in Minecraft Tutorial (MCPE/Xbox/Bedrock/Pc)",bedrock,https://www.youtube.com/watch?v=ri_HVwS7yf0
"Easiest Mob XP FARM For Minecraft 1.20+ (For All Version)",java,https://www.youtube.com/watch?v=gY9Yra19bkU
"Easy IRON FARM Mcpe 1.20+ TUTORIAL (Mcpe/Xbox/Ps4/Windows10)",java,https://www.youtube.com/watch?v=ju3dwNx428E
"Minecraft Easiest Iron Farm for 1.20+|Minecraft |farm",java,https://www.youtube.com/watch?v=Q4InAnpcxcc
"Minecraft EASY Guardian Farm - No Portals - 5000+ Per/h",java,https://www.youtube.com/watch?v=Gt8hQRMYNuQ
"Easiest Minecraft 1.20 Cobblestone Farm",java,https://www.youtube.com/watch?v=8XNTX66jybM
"MINECRAFT 1.20+ AUTOMATIC SUGAR CANE FARM / EASY EFFICIENT SUGAR CANE FARM PER HOUR 2500+ (JAVA+PE)",java,https://www.youtube.com/watch?v=LoyYcPiG76k
"Easiest AFK Mob XP Farm Minecraft Bedrock 1.20 (no spawner)",bedrock,https://www.youtube.com/watch?v=jyRSvs9W01M
"Easiest Wool Farm Minecraft 1.20",java,https://www.youtube.com/watch?v=BxDftnQ-jok
"Building A HUGE SUGARCANE FARM In Minecraft 1.19 Survival! (#64)",java,https://www.youtube.com/watch?v=N2Yl2l60_ZI
"I Transformed My Tiny Iron Farm into a MEGA Iron Farm in Minecraft Hardcore! (#19)",java,https://www.youtube.com/watch?v=QCFZ91vS5XI
"BEST 1.20 CREEPER FARM TUTORIAL in Minecraft Bedrock (MCPE/Xbox/PS/Switch/PC)",bedrock,https://www.youtube.com/watch?v=rWfGQFl_VKo
"Best CREEPER FARM IN MINECRAFT 1.20(MCPE/BEDROCK/X BOX/CONSOLE  ||(No Spawner) Mishra Gaming ||",bedrock,https://www.youtube.com/watch?v=n55bhB-BTEU
"Minecraft 1.20+ Guardian Farm XP Farm Tutorial | No Ocean Draining | 180k XP/hr | Ianxofour's Design",java,https://www.youtube.com/watch?v=6CcbT7d4x-k
"Top 3 Minecraft Sugarcane Farms",java,https://www.youtube.com/watch?v=gluafRATs7I
"EASIEST 1.20 IRON FARM TUTORIAL in Minecraft Bedrock (MCPE/Xbox/PS/Switch/PC)",bedrock,https://www.youtube.com/watch?v=5yb9zFZcFE0
"BEST 1.20 GOLD AND XP FARM TUTORIAL in Minecraft Bedrock (MCPE/Xbox/PS/Nintendo Switch/PC)",bedrock,https://www.youtube.com/watch?v=Dz8Hq3Yn6Ho
"BEST EASY Mob XP Farm in 1.20! Minecraft bedrock",bedrock,https://www.youtube.com/watch?v=tIYY4cDe_OM
"GUARDIAN FARM   |   Java Minecraft 1.19   |   Tutorial",java,https://www.youtube.com/watch?v=WCOGGUbANY8
"We Built The Fastest Guardian Farm in Minecraft",java,https://www.youtube.com/watch?v=DzrK47k0n9c
"Minecraft Shulker Farm in Bedrock 1.20! (MCPE/Xbox/PS4/Nintendo Switch/Windows10)",bedrock,https://www.youtube.com/watch?v=oulChJAtw4A
"Zero-Tick Sugarcane Farm Minecraft Bedrock 1.20 Tutorial! (MCPE/Xbox/PS4/Nintendo Switch/Windows10)",bedrock,https://www.youtube.com/watch?v=FvcPvnFi22Y
"Minecraft Bedrock 1.20 | ZERO TICK KELP FARM TUTORIAL!",bedrock,https://www.youtube.com/watch?v=zJqBDn-Gi70
"Iron Farm Minecraft Bedrock 1.20 Tutorial! (MCPE/Xbox/PS4/Nintendo Switch/Windows10)",bedrock,https://www.youtube.com/watch?v=2tks74qb5rw
"Raid Farm Minecraft Bedrock 1.20 Tutorial! (MCPE/Xbox/PS4/Nintendo Switch/Windows10)",bedrock,https://www.youtube.com/watch?v=bQzRKmAjZfE
"How To Fix Any Kelp XP Farm in Minecraft Bedrock Edition (Solve All Problems)",bedrock,https://www.youtube.com/watch?v=eLzqzsHlX1A
"Best 1.20 Creeper Farm for Minecraft Bedrock (No Spider)",bedrock,https://www.youtube.com/watch?v=DJQyuRxQqGg
" Simple Automatic 28,600 Cobblestone/Hour Farm Tutorial for Minecraft 1.20+ (Build in 10 Mins!)",java,https://www.youtube.com/watch?v=ZffQXi1Qxms
"Minecraft Guardian XP Farm Tutorial 1.20 | No Drain - 120K XP and 14K+ Items Per Hour",java,https://www.youtube.com/watch?v=rPoJjsd21Is
"Minecraft Villager AFK Crop Farm in Bedrock 1.20! (MCPE/Xbox/PS4/Nintendo Switch/Windows10)",bedrock,https://www.youtube.com/watch?v=94eNWAXPf18
"The BEST AFK Gold XP Farm Minecraft Bedrock 1.20 (MCPE/Xbox/PS4/Nintendo Switch/Windows10)",bedrock,https://www.youtube.com/watch?v=YAlbE7thUsE
"Minecraft AFK Fish Farm in Bedrock Edition - With Treasure!",bedrock,https://www.youtube.com/watch?v=T86lChgXAlM
"The BEST CREEPER XP Farm in Minecraft Bedrock 1.20!",bedrock,https://www.youtube.com/watch?v=lTaremi1tKw
"AUTOMATIC WOOL + EMRALD FARM Mcpe 1.20++ (Mcpe/Bedrock)",bedrock,https://www.youtube.com/watch?v=H3O_JWD4fN0
"Simple, Fast, Auto Basalt Farm | 86,400/hour | 1.20+",java,https://www.youtube.com/watch?v=bKWZwzl_bJs
"This Farm Is A BEAST | 600,000 Drops Per/h | Minecraft Survival Let's Play",java,https://www.youtube.com/watch?v=CSLiNe9EfnI
"EASIEST Shulker Farm Tutorial | Minecraft Bedrock",bedrock,https://www.youtube.com/watch?v=I7Uo1cGEmBs
"The BEST KELP XP Farm In Minecraft Bedrock 1.20!",bedrock,https://www.youtube.com/watch?v=v_eo29EAGJQ
"THE NEW 3 BEST XP FARMS are INSANE! | for Minecraft 1.20 Bedrock Edition | by James",bedrock,https://www.youtube.com/watch?v=2V6MBM7JRv0
"BEST 1.20 AUTOMATIC CROP FARM TUTORIAL in Minecraft Bedrock (MCPE/Xbox/PS/Switch/PC)",bedrock,https://www.youtube.com/watch?v=q3csmch4Xro
"Minecraft EASY Cow Farm in Bedrock 1.20 (MCPE/Xbox/PS4/Nintendo Switch/Windows10)",bedrock,https://www.youtube.com/watch?v=lY4Y9qQ1TU4
"The Easiest Squid Farm in Minecraft | 2000 + per hour",java,https://www.youtube.com/watch?v=zmeOapd0K8M
"Zombie/Skeleton spawner xp farm 1.20 + | Minecraft farms",java,https://www.youtube.com/watch?v=EMDstFwyOCE
"Minecraft EASY Guardian Farm NO DRAIN 30,000 Items Per Hour 1.20 Tutorial",java,https://www.youtube.com/watch?v=X3mCeJmx_k8
"EASIEST 1.20 SHULKER FARM TUTORIAL in Minecraft Bedrock (MCPE/Xbox/PS/Switch/PC)",bedrock,https://www.youtube.com/watch?v=vZk0y0lUHq0
"AUTO COBBLESTONE FARM Mcpe 1.20+ (Mcpe/Bedrock/Xbox/Pc) Tutorial",bedrock,https://www.youtube.com/watch?v=rIM6gY2sbSs
"I Reached 1000 LEVELS Using The Fastest XP Farms",java,https://www.youtube.com/watch?v=5ItHCIMlHI4
"Minecraft EASY Squid Ink Sac Farm - 4100 Per Hour!",java,https://www.youtube.com/watch?v=0Yjvu0yehgY
"How to Build a Guardian Farm in Minecraft Java 1.13+ - 31,000 items/hr!",java,https://www.youtube.com/watch?v=APkYIlukx0Y
"I Built An INSANE AUTOMATIC Iron Farm In Minecraft Hardcore! (#8)",java,https://www.youtube.com/watch?v=IpeokB5j5rw
"I BUILT A MEGA COPPER FARM in Hardcore Minecraft Survival",java,https://www.youtube.com/watch?v=FbJZxebu9bk
"I designed and built the NEW FASTEST Gold Farm in Minecraft!",java,https://www.youtube.com/watch?v=btI4rvZaDPg
"*INSANE* Kelp Farm for Minecraft Bedrock",bedrock,https://www.youtube.com/watch?v=_yd_vDO8F1k
"BEST 1.20 TRIDENT FARM Tutorial In Minecraft Bedrock (MCPE/XBOX)",bedrock,https://www.youtube.com/watch?v=iJH9eLD1vzA
"By far the Best 1.20 Shulker Farm in Minecraft Bedrock (MCPE/Xbox/PS4/PS5/Nintendo Switch/PC)",bedrock,https://www.youtube.com/watch?v=SfT8lV6j0uc
"Easy Guardian Farm Tutorial (No Drain/Water Removal) | Simply Minecraft (Java Edition 1.17/1.18)",java,https://www.youtube.com/watch?v=QGzRyRYmoS4
"I Built The FASTEST Iron Farm In Ultra Hardcore Minecraft",java,https://www.youtube.com/watch?v=fTxl18AjGgk
"Java Creeper Farms NOW WORK On Bedrock (With Modifications) | Minecraft 1.21 Preview Testing",bedrock,https://www.youtube.com/watch?v=Qt8Jy3RL8A0
"With Loot Farm, automatically defeat looters and get incredible rewards! (Do not miss)",java,https://www.youtube.com/watch?v=UzevjZxggLg
"I Built A RAID FARM in Minecraft Hardcore",java,https://www.youtube.com/watch?v=qbdQLIyxpiA
"How To Build a 600,000 Items Per/h Guardian Farm in Minecraft",java,https://www.youtube.com/watch?v=Set2fFwwgmE
"I Built A Netherite Factory In Hardcore Minecraft",java,https://www.youtube.com/watch?v=Ky4MAMo6KKM
"I Built This Auto Crafting Raid Farm In Ultra Hardcore Minecraft",java,https://www.youtube.com/watch?v=QxeCGF0YaLU
"Best Mob XP Farm Minecraft Bedrock 1.21 Tutorial! (MCPE/Xbox/PS4/Nintendo Switch/Windows10)",bedrock,https://www.youtube.com/watch?v=pOhP9li0vCY
"Easiest Blaze XP Farm in Minecraft 1.20 (Bedrock, Java & PE)",bedrock,https://www.youtube.com/watch?v=iKbOaweXyoY
"INFINITE Emerald & Wood Farm Tutorial in Minecraft Bedrock 1.20! (MCPE/Xbox/PS4/Nintendo Switch)",bedrock,https://www.youtube.com/watch?v=J-rPAJ4LctM
"BEST 1.20 AUTOMATIC WOOD FARM TUTORIAL in Minecraft Bedrock (MCPE/Xbox/PS/Switch/PC)",bedrock,https://www.youtube.com/watch?v=-3pKeKgBfSs
"2-in-1 Mud and Concrete Farm  - Simple To Build! - Minecraft Bedrock 1.20",bedrock,https://www.youtube.com/watch?v=wWS-O18IskM
"BEST IRON FARM In Minecraft Bedrock Tutorial - +8,840/HR! MCPE/XBOX/PS/Nintendo/Win10",bedrock,https://www.youtube.com/watch?v=ZoL_CQ6RGo8
"BEST Guardian XP Farm Tutorial in Minecraft Bedrock 1.20! (MCPE/Xbox/PS4/Nintendo Switch)",bedrock,https://www.youtube.com/watch?v=4WWtVKYBUto
"Minecraft Trident & Copper Farm - 120+ Tridents Per Hour",java,https://www.youtube.com/watch?v=9_LIS3UCqT8
"The EASIEST TREE FARM in Minecraft Bedrock 1.20!",bedrock,https://www.youtube.com/watch?v=k0fofkS_6Gw
"Giving 100 Piglins 50,000 Gold Blocks",java,https://www.youtube.com/watch?v=uHO_PHIOZz8
"Minecraft Beginner Slime Farm - NO Slime Chunks Needed",java,https://www.youtube.com/watch?v=c4mkubcTW7o
"EASIEST GHAST & GUNPOWDER Farm in Minecraft Bedrock 1.20! (MCPE/Xbox/PS4/Nintendo Switch)",bedrock,https://www.youtube.com/watch?v=ha33w08MuuA
